,date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover,label
105,2017-11-24,31.18,32.29,31.8,30.47,524343.06,0.5,1.6,31.258000000000003,29.813000000000002,29.05,726903.06,639694.11,540260.02,0.54,0.008805031446540917
106,2017-11-23,32.42,32.74,31.3,31.02,580325.38,-1.2,-3.69,30.678,29.384,28.835,734823.24,617851.08,536415.05,0.6,-0.01597444089456869
107,2017-11-22,31.9,33.08,32.5,31.54,1052969.75,0.71,2.23,30.206,29.021,28.646,733644.59,583231.24,528537.13,1.08,0.0369230769230769
108,2017-11-21,28.54,31.79,31.79,28.54,1081788.62,2.89,10.0,29.394000000000002,28.535,28.393,631266.19,517800.39,498175.01,1.11,-0.022334067316766307
109,2017-11-20,28.8,29.01,28.9,27.48,395088.47,0.0,0.0,28.736,28.141,28.153000000000002,562073.57,447603.35,469544.98,0.41,-0.10000000000000002
110,2017-11-17,28.85,29.6,28.9,28.6,563944.0,-0.04,-0.14,28.368000000000002,27.997,28.004,552485.17,459043.01,459666.92,0.58,0.0
111,2017-11-16,28.35,29.38,28.94,28.32,574432.12,0.5,1.76,28.09,27.926,27.868000000000002,500878.92,448191.46,438765.49,0.59,0.0013821700069109432
112,2017-11-15,28.28,28.66,28.44,27.91,541077.75,-0.06,-0.21,27.836,27.976999999999997,27.723000000000003,432817.89,426938.89,420170.16,0.56,-0.017580872011251757
113,2017-11-14,27.05,28.5,28.5,26.7,735825.5,1.44,5.32,27.676,28.048000000000002,27.623,404334.6,435124.24,409818.89,0.76,0.002105263157894692
114,2017-11-13,27.45,27.49,27.06,26.8,347146.47,-0.45,-1.64,27.546,28.094,27.508000000000003,333133.13,407869.46,382268.17,0.36,-0.053215077605321556
115,2017-11-10,27.6,27.83,27.51,27.36,305912.75,-0.16,-0.58,27.625999999999998,28.285999999999998,27.471,365600.85,440825.92,380661.25,0.32,0.016357688113413406
116,2017-11-09,27.52,27.79,27.67,27.3,234126.98,0.03,0.11,27.761999999999997,28.285,27.441999999999997,395504.0,454979.03,381862.01,0.24,0.005782435851102281
117,2017-11-08,27.75,28.14,27.64,27.41,398661.28,-0.21,-0.75,28.118000000000002,28.271,27.413,421059.89,473843.01,387604.65,0.41,-0.001085383502170808
118,2017-11-07,27.36,27.95,27.85,27.3,379818.16,0.39,1.42,28.42,28.25,27.375,465913.88,478549.63,388971.46,0.39,0.007540394973070048
119,2017-11-06,28.2,28.27,27.46,26.95,509485.09,-0.73,-2.59,28.642,28.165,27.311999999999998,482605.79,491486.61,388335.61,0.52,-0.014202476329206138
120,2017-11-03,29.23,29.52,28.19,28.05,455428.47,-1.26,-4.28,28.945999999999998,28.011999999999997,27.261999999999997,516050.99,460290.82,398448.23,0.47,0.02589570769776518
121,2017-11-02,29.3,29.48,29.45,28.68,361906.47,0.3,1.03,28.808000000000003,27.809,27.165,514454.06,429339.51,392964.44,0.37,0.04278438030560265
122,2017-11-01,28.96,30.54,29.15,28.73,622931.19,0.19,0.66,28.424,27.469,27.013,526626.14,413401.42,387986.47,0.64,-0.0102915951972556
